fac1,fac2,cite
http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/agardner,http://vivo.brown.edu/individual/atompkin,http://vivo.brown.edu/individual/n38791
http://vivo.brown.edu/individual/atompkin,http://vivo.brown.edu/individual/agardner,http://vivo.brown.edu/individual/n38791
http://vivo.brown.edu/individual/gkeitner,http://vivo.brown.edu/individual/rkohnmd,http://vivo.brown.edu/individual/n84704
http://vivo.brown.edu/individual/rkohnmd,http://vivo.brown.edu/individual/gkeitner,http://vivo.brown.edu/individual/n84704
http://vivo.brown.edu/individual/ssheinko,http://vivo.brown.edu/individual/rseiferp,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/ssheinko,http://vivo.brown.edu/individual/llagasse,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/rseiferp,http://vivo.brown.edu/individual/ssheinko,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/rseiferp,http://vivo.brown.edu/individual/llagasse,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/llagasse,http://vivo.brown.edu/individual/ssheinko,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/llagasse,http://vivo.brown.edu/individual/rseiferp,http://vivo.brown.edu/individual/n37929
http://vivo.brown.edu/individual/scruiksh,http://vivo.brown.edu/individual/bconnors,http://vivo.brown.edu/individual/n51402
http://vivo.brown.edu/individual/bconnors,http://vivo.brown.edu/individual/scruiksh,http://vivo.brown.edu/individual/n51402
http://vivo.brown.edu/individual/smonagha,http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/n67374
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/smonagha,http://vivo.brown.edu/individual/n67374
http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/cvargas,http://vivo.brown.edu/individual/n99674
http://vivo.brown.edu/individual/cvargas,http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/n99674
http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n83560
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/n83560
http://vivo.brown.edu/individual/sz2,http://vivo.brown.edu/individual/smossmd,http://vivo.brown.edu/individual/n48058
http://vivo.brown.edu/individual/smossmd,http://vivo.brown.edu/individual/sz2,http://vivo.brown.edu/individual/n48058
http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/akwaramd,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/akwaramd,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/akwaramd,http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/akwaramd,http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/n41117
http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/n75952
http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/n75952
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n99632
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n99632
http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/n82734
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/n82734
