id,last,first,label,title
http://vivo.brown.edu/individual/dasolomo,Solomon,David,"Solomon, David",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/ko1,Oliver,Karen,"Oliver, Karen",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/mrickerb,Rickerby,Michelle,"Rickerby, Michelle",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/toleary,Tevyaw,Tracy,"Tevyaw, Tracy",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/gsurtimd,Surti,Ghulam,"Surti, Ghulam",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/rvillalb,Villalba,Rendueles,"Villalba, Rendueles",Clinical Associate Professor of Psychiatry and Human Behavior
http://vivo.brown.edu/individual/parant,Arant,Patricia,"Arant, Patricia",Professor Emerita of Slavic Languages
http://vivo.brown.edu/individual/ccarey,Carey,Claude,"Carey, Claude",Professor Emerita of Slavic Languages
http://vivo.brown.edu/individual/ngercke,Gercke,Nicole,"Gercke, Nicole",Research Associate in Italian Studies
http://vivo.brown.edu/individual/tlrose,Rose,Tricia,"Rose, Tricia",Professor of Africana Studies
http://vivo.brown.edu/individual/emgoldbe,Goldberg,Elizabeth,"Goldberg, Elizabeth","Postdoctoral Research Fellow in Gerontology and Health Care Research,  Assistant Professor of Emergency Medicine"
http://vivo.brown.edu/individual/hmarkphd,Mark,Hon,"Mark, Hon",Clinical Professor Emerita of Pediatrics
http://vivo.brown.edu/individual/pnahme,Nahme,Paul,"Nahme, Paul",Dorot Assistant Professor of Judaic Studies and Assistant Professor of Religious Studies
http://vivo.brown.edu/individual/jpipher,Pipher,Jill,"Pipher, Jill","Elisha Benjamin Andrews Professor of Mathematics,  Director of Institute for Computational and Experimental Research in Mathematics"
http://vivo.brown.edu/individual/pvlahovs,Vlahovska,Petia,"Vlahovska, Petia",Associate Professor of Engineering
http://vivo.brown.edu/individual/avandewa,Van De Walle,Axel,"Van De Walle, Axel",Associate Professor of Engineering
http://vivo.brown.edu/individual/afaustos,Fausto-Sterling,Anne,"Fausto-Sterling, Anne",Nancy Duke Lewis Professor Emerita of Biology
http://vivo.brown.edu/individual/jstaffor,Stafford,Jensy,"Stafford, Jensy","Assistant Professor of Medicine (Clinical),  Assistant Professor of Family Medicine (Clinical)"
http://vivo.brown.edu/individual/flaiwall,Laiwalla,Farah,"Laiwalla, Farah",Research Associate in Engineering
http://vivo.brown.edu/individual/kreichel,Reichel,Kimberly,"Reichel, Kimberly",Research Associate in Engineering
http://vivo.brown.edu/individual/ttracyjr,Tracy,Thomas,"Tracy, Thomas","Professor of Surgery and Pediatrics,  Vice Chair of Surgery"
http://vivo.brown.edu/individual/mvaquero,Vaquero,Mercedes,"Vaquero, Mercedes","Professor of Hispanic Studies,  Director of Medieval Studies"
http://vivo.brown.edu/individual/yohuang,Huang,Yongsong,"Huang, Yongsong","Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/eparment,Parmentier,Edgar,"Parmentier, Edgar","Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/yliang,Liang,Yan,"Liang, Yan","Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/rcooper,Cooper,Reid,"Cooper, Reid","Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/kfischer,Fischer,Karen,"Fischer, Karen","Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/mchan2,Chan,Melody,"Chan, Melody",Assistant Professor of Mathematics
