fac1,fac2,c,dpt
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/ktkelsey,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/estopamd,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/pwilliar,1,http://vivo.brown.edu/individual/org-brown-univ-dept7
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/jsedivy,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/lbrossay,2,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/watwoodp,http://vivo.brown.edu/individual/shaley,4,http://vivo.brown.edu/individual/org-brown-univ-dept53
