fac1,fac2,c,dpt
http://vivo.brown.edu/individual/dlipscom,http://vivo.brown.edu/individual/wfairbro,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/jz75,1,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/cvargas,9,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/anurmikk,9,http://vivo.brown.edu/individual/org-brown-univ-dept75
