fac1,fac2,c,dpt
http://vivo.brown.edu/individual/ec78,http://vivo.brown.edu/individual/wl68,6,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/gkroumpo,http://vivo.brown.edu/individual/hhiggins,1,http://vivo.brown.edu/individual/org-brown-univ-dept231
http://vivo.brown.edu/individual/hhiggins,http://vivo.brown.edu/individual/gkroumpo,1,http://vivo.brown.edu/individual/org-brown-univ-dept231
http://vivo.brown.edu/individual/schai1,http://vivo.brown.edu/individual/mranney,1,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/wl68,http://vivo.brown.edu/individual/ec78,3,http://vivo.brown.edu/individual/org-brown-univ-dept231
